icd_code,icd_version,comorbidity
39891,9,Congestive heart failure
40201,9,Congestive heart failure
40211,9,Congestive heart failure
40291,9,Congestive heart failure
40401,9,Congestive heart failure
40403,9,Congestive heart failure
40411,9,Congestive heart failure
40413,9,Congestive heart failure
40491,9,Congestive heart failure
40493,9,Congestive heart failure
4280,9,Congestive heart failure
4281,9,Congestive heart failure
42820,9,Congestive heart failure
42821,9,Congestive heart failure
42822,9,Congestive heart failure
42823,9,Congestive heart failure
42830,9,Congestive heart failure
42831,9,Congestive heart failure
42832,9,Congestive heart failure
42833,9,Congestive heart failure
42840,9,Congestive heart failure
42841,9,Congestive heart failure
42842,9,Congestive heart failure
42843,9,Congestive heart failure
4289,9,Congestive heart failure
4254,9,Congestive heart failure
4255,9,Congestive heart failure
4257,9,Congestive heart failure
4258,9,Congestive heart failure
4259,9,Congestive heart failure
I099,10,Congestive heart failure
I110,10,Congestive heart failure
I130,10,Congestive heart failure
I132,10,Congestive heart failure
I255,10,Congestive heart failure
I420,10,Congestive heart failure
I425,10,Congestive heart failure
I426,10,Congestive heart failure
I427,10,Congestive heart failure
I428,10,Congestive heart failure
I429,10,Congestive heart failure
I43,10,Congestive heart failure
I50,10,Congestive heart failure
I501,10,Congestive heart failure
I502,10,Congestive heart failure
I5020,10,Congestive heart failure
I5021,10,Congestive heart failure
I5022,10,Congestive heart failure
I5023,10,Congestive heart failure
I503,10,Congestive heart failure
I5030,10,Congestive heart failure
I5031,10,Congestive heart failure
I5032,10,Congestive heart failure
I5033,10,Congestive heart failure
I504,10,Congestive heart failure
I5040,10,Congestive heart failure
I5041,10,Congestive heart failure
I5042,10,Congestive heart failure
I5043,10,Congestive heart failure
I508,10,Congestive heart failure
I5081,10,Congestive heart failure
I50810,10,Congestive heart failure
I50811,10,Congestive heart failure
I50812,10,Congestive heart failure
I50813,10,Congestive heart failure
I50814,10,Congestive heart failure
I5082,10,Congestive heart failure
I5083,10,Congestive heart failure
I5084,10,Congestive heart failure
I5089,10,Congestive heart failure
I509,10,Congestive heart failure
P290,10,Congestive heart failure
4260,9,Cardiac arrhythmias
42613,9,Cardiac arrhythmias
4267,9,Cardiac arrhythmias
4269,9,Cardiac arrhythmias
42610,9,Cardiac arrhythmias
42612,9,Cardiac arrhythmias
4270,9,Cardiac arrhythmias
4271,9,Cardiac arrhythmias
4272,9,Cardiac arrhythmias
42731,9,Cardiac arrhythmias
42732,9,Cardiac arrhythmias
42741,9,Cardiac arrhythmias
42742,9,Cardiac arrhythmias
42760,9,Cardiac arrhythmias
42761,9,Cardiac arrhythmias
42769,9,Cardiac arrhythmias
42781,9,Cardiac arrhythmias
42789,9,Cardiac arrhythmias
4279,9,Cardiac arrhythmias
7850,9,Cardiac arrhythmias
99601,9,Cardiac arrhythmias
99604,9,Cardiac arrhythmias
V450,9,Cardiac arrhythmias
V533,9,Cardiac arrhythmias
I441,10,Cardiac arrhythmias
I442,10,Cardiac arrhythmias
I443,10,Cardiac arrhythmias
I4430,10,Cardiac arrhythmias
I4439,10,Cardiac arrhythmias
I456,10,Cardiac arrhythmias
I459,10,Cardiac arrhythmias
I47,10,Cardiac arrhythmias
I470,10,Cardiac arrhythmias
I471,10,Cardiac arrhythmias
I472,10,Cardiac arrhythmias
I479,10,Cardiac arrhythmias
I48,10,Cardiac arrhythmias
I480,10,Cardiac arrhythmias
I481,10,Cardiac arrhythmias
I4811,10,Cardiac arrhythmias
I4819,10,Cardiac arrhythmias
I482,10,Cardiac arrhythmias
I4820,10,Cardiac arrhythmias
I4821,10,Cardiac arrhythmias
I483,10,Cardiac arrhythmias
I484,10,Cardiac arrhythmias
I489,10,Cardiac arrhythmias
I4891,10,Cardiac arrhythmias
I4892,10,Cardiac arrhythmias
I49,10,Cardiac arrhythmias
I490,10,Cardiac arrhythmias
I4901,10,Cardiac arrhythmias
I4902,10,Cardiac arrhythmias
I491,10,Cardiac arrhythmias
I492,10,Cardiac arrhythmias
I493,10,Cardiac arrhythmias
I494,10,Cardiac arrhythmias
I4940,10,Cardiac arrhythmias
I4949,10,Cardiac arrhythmias
I495,10,Cardiac arrhythmias
I498,10,Cardiac arrhythmias
I499,10,Cardiac arrhythmias
R000,10,Cardiac arrhythmias
R001,10,Cardiac arrhythmias
R008,10,Cardiac arrhythmias
T821,10,Cardiac arrhythmias
T8211,10,Cardiac arrhythmias
T82110,10,Cardiac arrhythmias
T82110A,10,Cardiac arrhythmias
T82110D,10,Cardiac arrhythmias
T82110S,10,Cardiac arrhythmias
T82111,10,Cardiac arrhythmias
T82111A,10,Cardiac arrhythmias
T82111D,10,Cardiac arrhythmias
T82111S,10,Cardiac arrhythmias
T82118,10,Cardiac arrhythmias
T82118A,10,Cardiac arrhythmias
T82118D,10,Cardiac arrhythmias
T82118S,10,Cardiac arrhythmias
T82119,10,Cardiac arrhythmias
T82119A,10,Cardiac arrhythmias
T82119D,10,Cardiac arrhythmias
T82119S,10,Cardiac arrhythmias
T8212,10,Cardiac arrhythmias
T82120,10,Cardiac arrhythmias
T82120A,10,Cardiac arrhythmias
T82120D,10,Cardiac arrhythmias
T82120S,10,Cardiac arrhythmias
T82121,10,Cardiac arrhythmias
T82121A,10,Cardiac arrhythmias
T82121D,10,Cardiac arrhythmias
T82121S,10,Cardiac arrhythmias
T82128,10,Cardiac arrhythmias
T82128A,10,Cardiac arrhythmias
T82128D,10,Cardiac arrhythmias
T82128S,10,Cardiac arrhythmias
T82129,10,Cardiac arrhythmias
T82129A,10,Cardiac arrhythmias
T82129D,10,Cardiac arrhythmias
T82129S,10,Cardiac arrhythmias
T8219,10,Cardiac arrhythmias
T82190,10,Cardiac arrhythmias
T82190A,10,Cardiac arrhythmias
T82190D,10,Cardiac arrhythmias
T82190S,10,Cardiac arrhythmias
T82191,10,Cardiac arrhythmias
T82191A,10,Cardiac arrhythmias
T82191D,10,Cardiac arrhythmias
T82191S,10,Cardiac arrhythmias
T82198,10,Cardiac arrhythmias
T82198A,10,Cardiac arrhythmias
T82198D,10,Cardiac arrhythmias
T82198S,10,Cardiac arrhythmias
T82199,10,Cardiac arrhythmias
T82199A,10,Cardiac arrhythmias
T82199D,10,Cardiac arrhythmias
T82199S,10,Cardiac arrhythmias
Z450,10,Cardiac arrhythmias
Z4501,10,Cardiac arrhythmias
Z45010,10,Cardiac arrhythmias
Z45018,10,Cardiac arrhythmias
Z4502,10,Cardiac arrhythmias
Z950,10,Cardiac arrhythmias
09320,9,Valvular disease
09321,9,Valvular disease
09322,9,Valvular disease
09323,9,Valvular disease
09324,9,Valvular disease
3940,9,Valvular disease
3941,9,Valvular disease
3942,9,Valvular disease
3949,9,Valvular disease
3950,9,Valvular disease
3951,9,Valvular disease
3952,9,Valvular disease
3959,9,Valvular disease
3960,9,Valvular disease
3961,9,Valvular disease
3962,9,Valvular disease
3963,9,Valvular disease
3968,9,Valvular disease
3969,9,Valvular disease
3970,9,Valvular disease
3971,9,Valvular disease
3979,9,Valvular disease
4240,9,Valvular disease
4241,9,Valvular disease
4242,9,Valvular disease
4243,9,Valvular disease
42490,9,Valvular disease
42491,9,Valvular disease
42499,9,Valvular disease
7463,9,Valvular disease
7464,9,Valvular disease
7465,9,Valvular disease
7466,9,Valvular disease
V422,9,Valvular disease
V433,9,Valvular disease
A520,10,Valvular disease
A5200,10,Valvular disease
A5201,10,Valvular disease
A5202,10,Valvular disease
A5203,10,Valvular disease
A5204,10,Valvular disease
A5205,10,Valvular disease
A5206,10,Valvular disease
A5209,10,Valvular disease
I05,10,Valvular disease
I050,10,Valvular disease
I051,10,Valvular disease
I052,10,Valvular disease
I058,10,Valvular disease
I059,10,Valvular disease
I06,10,Valvular disease
I060,10,Valvular disease
I061,10,Valvular disease
I062,10,Valvular disease
I068,10,Valvular disease
I069,10,Valvular disease
I07,10,Valvular disease
I070,10,Valvular disease
I071,10,Valvular disease
I072,10,Valvular disease
I078,10,Valvular disease
I079,10,Valvular disease
I08,10,Valvular disease
I080,10,Valvular disease
I081,10,Valvular disease
I082,10,Valvular disease
I083,10,Valvular disease
I088,10,Valvular disease
I089,10,Valvular disease
I091,10,Valvular disease
I098,10,Valvular disease
I0981,10,Valvular disease
I0989,10,Valvular disease
I34,10,Valvular disease
I340,10,Valvular disease
I341,10,Valvular disease
I342,10,Valvular disease
I348,10,Valvular disease
I349,10,Valvular disease
I35,10,Valvular disease
I350,10,Valvular disease
I351,10,Valvular disease
I352,10,Valvular disease
I358,10,Valvular disease
I359,10,Valvular disease
I36,10,Valvular disease
I360,10,Valvular disease
I361,10,Valvular disease
I362,10,Valvular disease
I368,10,Valvular disease
I369,10,Valvular disease
I37,10,Valvular disease
